Client,Name,Title,Full attribution,Industry,Vertical,Tags,"Quote ""...""",Source,Current client
Oliso,Kyle Koenig,Director of Business Development,"Kyle Koenig, Oliso",Hardware / Home Appliance Electronics,Manufacturing,"BV Advantage: Network,Conversion","The results are amazing so far at our retailers. We used to sell a couple irons a week and now sell dozens a day at one retailer since launching with Bazaarvoice. We’re up $40,000 at that store in just weeks, which is a lot of money for a small company. Retailers are taking notice, as more and more are carrying our products",Case study,Yes
Oliver Bonas,Alice Lewin-Smith,Digital Marketing Manager,"Alice Lewin-Smith, Oliver Bonas",Apparel / Accessories,Retail,Visual content,"This content works as a ‘visual review’ allowing customers a better idea of how products look by showing how they’re used or styled in a real-life setting or on a real person. We’re a very visual brand, and our community is at the heart of everything we do, so this kind of content was the logical step to enhance our digital experience.",Case study,Yes
Oliver Bonas,Alice Lewin-Smith,Digital Marketing Manager,"Alice Lewin-Smith, Oliver Bonas",Apparel / Accessories,Retail,Broad,"Using UGC has also helped us create a sense of community and personality on our site and channels, our followers have great taste and we love seeing how they are using their Oliver Bonas products.",Case study,Yes
Oliver Bonas,Alice Lewin-Smith,Digital Marketing Manager,"Alice Lewin-Smith, Oliver Bonas",Apparel / Accessories,Retail,Broad,"UGC is a massive omnichannel opportunity for us, and it enables us to be more reactive on quite a lot of our touchpoints to create a much more compelling and personal approach.",Case study,Yes
Oliver Bonas,Alice Lewin-Smith,Digital Marketing Manager,"Alice Lewin-Smith, Oliver Bonas",Apparel / Accessories,Retail,"Visual content,Tools","It was always time-consuming and ad hoc before. Now, we can collect the content easily and have a library of visual assets that yield really strong results. The platform has really helped streamline the social media workflow, with everything managed in one place. The reporting functionalities are clear and informative and easy for the team to use.",Case study,Yes
Oliver Bonas,Alice Lewin-Smith,Digital Marketing Manager,"Alice Lewin-Smith, Oliver Bonas",Apparel / Accessories,Retail,"Broad,Volume","We’re very fortunate that we get a lot of content without investing heavily in influencer marketing. Our followers really like that we feature real people and real homes and are so excited about seeing their image featured.

",Case study,Yes
Pacific’s Beauty Crew,Susie Hogan,Head of fashion and beauty,"Susie Hogan, Pacific’s Beauty Crew",Health / Beauty,Manufacturing,BV Advantage: Network,"We have always influenced the consumer journey through service-driven and inspirational content paired with expert and consumer reviews. Now, through our syndication partnership with Bazaarvoice, we can close that consumer journey loop. The partnership provides a seamless way to syndicate our independently generated authentic reviews to retailer websites amplifying peer-to-peer recommendations and increasing sales conversions. It also demonstrates the power of publishers to drive quality and trusted reviews, helping brands of any size to scale up quickly rather than waiting for them to appear organically.",Case study,Yes
Pacifica Beauty,Michael Kremer,Chief Marketing Officer,"Michael Kremer, Pacifica Beauty",Health / Beauty,Manufacturing,"ReviewSource,Influenster,BV Advantage: Network,Broad","Review generation is a huge business objective for us, as we aim to expand brand awareness and drive conversion.",Case study,Yes
Pacifica Beauty,Michael Kremer,Chief Marketing Officer,"Michael Kremer, Pacifica Beauty",Health / Beauty,Manufacturing,"ReviewSource,Influenster,BV Advantage: Network,Broad","Capturing UGC organically can be a challenge, but the Influenster community is highly engaged, and we saw this as a good way to drive purchase intent. Generating reviews across several different retailers can be difficult, but ReviewSource helps this and allows us to boost our digital presence with our retailer partners",Case study,Yes
Pacifica Beauty,Michael Kremer,Chief Marketing Officer,"Michael Kremer, Pacifica Beauty",Health / Beauty,Manufacturing,"ReviewSource,Broad,BV Advantage: Strategy & Expertise,BV: Generic,BV Advantage: Service & Support",It was a very seamless process to launch. All of that credit goes to the Bazaarvoice team.,Case study,Yes
Petmate,Chad Siegert,Director of Consumer Marketing,"Chad Siegert, Petmate",Pets,Manufacturing,BV Advantage: Network,This content is supporting our relationships with retailers. It’s a strong message to share when we can tell our channel partners that we have driven a significant increase in reviews on product pages.,Case study,Yes
Petmate,Chad Siegert,Director of Consumer Marketing,"Chad Siegert, Petmate",Pets,Manufacturing,"Amplify,Broad","We can tell a story about our brands and products all day long, but that story is best conveyed through customer sentiment and letting shoppers hear it from their peers.",Case study,Yes
Petmate,Chad Siegert,Director of Consumer Marketing,"Chad Siegert, Petmate",Pets,Manufacturing,Broad,"Continuing to manage and grow a successful program doesn’t take monumental efforts. If you spend a little time understanding the capabilities and optimizing the program, it makes a big difference.",Case study,Yes
Premier Tech Horticulture,Nicolas Ouellet,Marketing Supervisor,"Nicolas Ouellet, Premier Tech Horticulture",Hardware / Home Improvement,Manufacturing,Customer engagement,"We can be very responsive by connecting the conversation with our customers, almost in real time!",G2,Yes
Premier Tech Horticulture,Nicolas Ouellet,Marketing Supervisor,"Nicolas Ouellet, Premier Tech Horticulture",Hardware / Home Improvement,Manufacturing,Insights,"Buying online, especially gardening products and home pest control products can be difficult so having the possibility to update product information and answers consumers question quickly is a must for any manufacturer. We gain insight into which products are good and which need improvements, and which should receive more of a focus. Reviews give our brands a trustworthy knowledge from consumers, which is of great value to us. We have updated our catalog of products and now retailers website can show accurate information to consumers. ",G2,Yes
Premier Tech Horticulture,Nicolas Ouellet,Marketing Supervisor,"Nicolas Ouellet, Premier Tech Horticulture",Hardware / Home Improvement,Manufacturing,"BV Advantage: Service & Support,BV Advantage: Strategy & Expertise,BV: Generic","Bazaarvoice is a great tool to manage reviews and questions from consumers. Bazaarvoice support is awesome, responsive, knowledgeable, and extremely helpful in ways we never thought possible from a partner. Bazaarvoice is constantly improving its platform and the reporting. All companies that are keen to engage in conversation with their consumers must imperatively call upon the expertise of Bazaarvoice. They are the leaders in their field and have been excellent partners for us for several years. The added value they bring to our organization and the return on investment for us is invaluable.",G2,Yes
Princess Auto,Dave Matthes,VP Marketing,"Dave Matthes, Princess Auto",Hardware / Home Improvement,Retail,"Q&A,SEO,Customer engagement","BV is a simple to install solution that makes my website a place to connect with customers. For a long time we thought developing and maintaining our own in house solution was better and cheaper, turns out it was a bad customer experience that didn't completely meet our needs. We needed a place to capture product reviews in a way that was easy to aggregate, easy to monitor and provided our pages with SEO value. We also needed to have a simple two way conversation with customers, we solve that with the Question and Answers feature.",G2,Yes
Probikeshop,Kévin DIOT,Market Manager,"Kévin DIOT, Probikeshop",Sporting Goods / Outdoors,Retail,"Customer experience,BV Advantage: Strategy & Expertise",Customers exert a powerful influence on other customers making confident choices. Bazaarvoice worked closely with us to provide a complete program that addresses our specific business needs.,Case study,Yes
Rael,Sorah Park,CMO,"Sorah Park, Rael",Health / Beauty,Manufacturing,Influenster,"We previously worked with another sampling provider, but with Bazaarvoice, we’re getting more precise targeting that lets us improve on our review volume and quality.",Case study,Yes
Rael,Sorah Park,CMO,"Sorah Park, Rael",Health / Beauty,Manufacturing,Influenster,"The caliber of social content was much higher than with other providers. The Influenster community members were better content creators and gave us lots of really creative, on-brand content for us to share with other beauty shoppers across all our channels",Case study,Yes
Rael,Sorah Park,CMO,"Sorah Park, Rael",Health / Beauty,Manufacturing,Influenster,"We have many acquisition campaigns to get people onto our site, but we know that reviews drive conversion. In a way, it makes all our other marketing tactics much more effective and efficient because we’re not just getting people onto the site. We’re convincing consumers to try our products.",Case study,Yes
Rael,Sorah Park,CMO,"Sorah Park, Rael",Health / Beauty,Manufacturing,"Influenster,Insights","UGC guides essential parts of overall marketing strategy by showing us how to speak about each product and position them based on what consumers like. Sometimes your customers tell you things that you didn’t consider on our own. From a learning perspective, Bazaarvoice sampling lets us get much more granular information on our products compared to other sampling providers. Marketers don’t always get it exactly right at the beginning. That’s why insights from UGC are so influential. As a small brand, we don’t have the budget to do a ton of consumer research, and it’s difficult to get a large number of people to respond to us with our own surveys. UGC lets us reach a large audience all at once in a cost-effective, scalable fashion",Case study,Yes
Rael,Sorah Park,CMO,"Sorah Park, Rael",Health / Beauty,Manufacturing,"Broad,Influenster","Broadening our range from natural period care products to beauty has been a major hit. And from a sales perspective, it’s significantly exceeded our expectations. UGC helps shape our future, and we have a partner that lets us take advantage of it and that plays a vital role in our continued expansion",Case study,Yes
Rael,Sorah Park,CMO,"Sorah Park, Rael",Health / Beauty,Manufacturing,"Influenster,Visual content","For a small startup, it’s all about building trust with consumers because you’re not relying on a big brand name that has long-term credibility. And knowing that people can’t touch and feel a product online, and with the sensorial aspect of beauty and skin care, the third-party validation from UGC is so important.",Case study,Yes
RedBalloon,Matt Cavalier,Chief Growth Officer,"Matt Cavalier, RedBalloon",Travel,Other,Other,"Experiences aren’t always tangible products. It’s not a pair of jeans, a shirt, or something you buy for your kitchen, so we really rely on the customer’s voice to tell a product’s story.",Case study,Yes
RedBalloon,Matt Cavalier,Chief Growth Officer,"Matt Cavalier, RedBalloon",Travel,Other,Volume,"In the world of user-generated content, more is more.",Case study,Yes
RedBalloon,Matt Cavalier,Chief Growth Officer,"Matt Cavalier, RedBalloon",Travel,Other,Visual content,We’re always impressed with the quality of the visual content that’s submitted. It’s king on social media. It’s that thumb-stopping content that cuts through the clutter.,Case study,Yes
RedBalloon,Matt Cavalier,Chief Growth Officer,"Matt Cavalier, RedBalloon",Travel,Other,Insights,"We have found these insights to be extremely beneficial for the experience provider, and for us internally to manage the quality of what’s offered on our site.",Case study,Yes
RedBalloon,Matt Cavalier,Chief Growth Officer,"Matt Cavalier, RedBalloon",Travel,Other,Customer engagement,We’ve found that customers love that we actively engage in dialogue with those who have taken the time to share content. It shows them that we’ve listened and taken action.,Case study,Yes
Rocky Brands,Christopher Payne,Front End Developer,"Christopher Payne, Rocky Brands",,,"BV Advantage: Network,Conversion,Sampling",The syndication Bazaarvoice offers was really useful for us since we sell the same product across multiple brands. This feature allows users feedback to show on different sites even though they only filled it out on one particular site. The users that engage with this platform have a higher chance of converting versus users who only visited the page. We were looking for user reviews since good reviews help customers finalize their purchasing decision. This product has filled that void for us and their other offerings such as product seeding programs may help jump starting reviews on products that have a hard time getting proper feedback from users.,G2,Yes
Samsung,Sten Hallock,"Senior Manager, Online Marketing","Sten Hallock, Samsung",Consumer Electronics,Manufacturing,"Customer engagement,Q&A",Connections gives us the opportunity to have one-to-one interactions with our customers all the way to point of sale and beyond – and we relish that.,Website,Yes
Saturn,Michael Holzhey,E-Commerce Team Leader,"Michael Holzhey, Saturn",Consumer Electronics,Retail,BV Advantage: Network,"The Bazaarvoice network contains a lot of manufacturers whose products we sell, providing us with a good degree of coverage. Around two-thirds of our products can be assigned customer reviews from the network – and almost every second review in our shop comes from here.",Case study,Yes
Saturn,Michael Holzhey,E-Commerce Team Leader,"Michael Holzhey, Saturn",Consumer Electronics,Retail,"Insights,BV Advantage: Content Integrity","Bazaarvoice’s moderation team offers us great support. They not only take a lot of work off of our shoulders, but also provide us with valuable insights on where things could be done better. Customer reviews containing recommendations for improvement, for example regarding service or delivery, are forwarded to the responsible locations in internal reports.",Case study,Yes
Saturn,Michael Holzhey,E-Commerce Team Leader,"Michael Holzhey, Saturn",Consumer Electronics,Retail,Conversion,"Since implementing Bazaarvoice, the number of customer reviews, and in turn the conversion rates, in our online shop have increased significantly.",Case study,Yes
SealSkinz Limited,David Richards,Head of Marketing,"David Richards, SealSkinz Limited",Sporting Goods / Outdoors,Manufacturing,"Conversion,Tools,Insights,BV: Generic","We’re a relatively new brand in a space that very few companies occupy. We have to educate people about the benefits of our products to win them over, and UGC is crucial to doing that. It’s phenomenal what we see on conversion reports. It’s better than I would have ever thought it could be. Some review companies will only capture content from purchasers, and that’s their way of qualifying reviews, but Bazaarvoice doesn’t limit the amount and type of information we can collect. They’re able to also validate content that’s captured from people using our products who aren’t necessarily online purchasers. With Bazaarvoice, we have the ability to access data we’ve never been able to get before. We can see which products people are buying, how they’re using them, what their experience has been, and other information we can use to make them better and sell them more effectively. Content from reviews helps us identify key wholesale markets.",Case study,Yes
ShelterLogic,Debora Villalona-Gonzalez,"	
Brand Reputation Specialist","Debora Villalona-Gonzalez, ShelterLogic",Sporting Goods / Outdoors,Manufacturing,Customer engagement,Superb social managing platform. We use Bazaarvoice to ensure we are providing detailed responses to questions our customers ask via retailer websites. This platform helps close the gap and helps us to provide the excellent customer service we strive to provide.,G2,Yes
SOK,Harri Laaksonen,eCommerce development manager,"Harri Laaksonen, SOK",Mass Merchant / Department Store,Retail,"BV: Generic,BV Advantage: Service & Support,Conversion,SEO,Insights","Bazaarvoice is everything you need for gathering, managing and utilising user generated content. It is easy to use and support for getting the most out of the service is there. UGC helps to improve SEO and increase traffic, it generates trust and improves conversion rate and furthermore it is an internal tool for category managers and suppliers to see what customers think about our products and services.",G2,Yes
STANLEY,Nancy S.,Consumer Marketing Manager,"Nancy S., STANLEY",Hardware / Home Improvement,Manufacturing,"BV Advantage: Service & Support,BV Advantage: Strategy & Expertise,BV Advantage: Network","Powerful network and absolute must have technology for ecomm strategy. Ratings and reviews are important to have on your products, but syndicating that content is just as important to your relationships and sell through via retailers and partners. In this case, BV wins big as it has the largest network out there. I have the feeling I have hundreds of people out there at my fingertips just under the BV umbrella alone as I can make inquiries and put in tickets and hear back very quickly with status updates and resolutions. Having a success manager constantly dedicated to answering questions for me as well as suggest ways to collect more content, etc is powerful. I just wish I had more resources on my side of ops to help execute those programs!",G2,Yes
Starwood Hotels and Resorts,Abbey Reider,Assc. Director Marketing & Social Media Strategy,"Abbey Reider, Starwood Hotels and Resorts",Travel,Retail,Customer experience,"CGC really brings to life the recommendation side, which has always existed offline with friends and families. Now it is online where it lives forever, where people can find information from people like them that they share interests with.",Video interview,Yes
Starwood Hotels and Resorts,Abbey Reider,Assc. Director Marketing & Social Media Strategy,"Abbey Reider, Starwood Hotels and Resorts",Travel,Retail,Insights,"It allows us to tap into overall sentiment and understand how we're trending from a brand health perspective as well as overall reputation management, so we can hone in on areas we need to pay attention to as a company to improve guest experiences.",Video interview,Yes
Starwood Hotels and Resorts,Abbey Reider,Assc. Director Marketing & Social Media Strategy,"Abbey Reider, Starwood Hotels and Resorts",Travel,Retail,"BV: Generic,BV Advantage: Service & Support","Bazaarvoice has been a fantastic partner for us, whether it was in the beginning of the relationship and making sure that we were comfortable with the overall process and what the implementation looked like, and not just our direct team but the tech side, the brand side, all the different touchpoint that you would imagine involved in implementing something as sensitive as ratings and reviews.",Video interview,Yes
Starwood Hotels and Resorts,Abbey Reider,Assc. Director Marketing & Social Media Strategy,"Abbey Reider, Starwood Hotels and Resorts",Travel,Retail,"Customer experience,Customer engagement,SEO,Insights","It helps generate new content from the voice of the customer, so it's a constant feed of new content coming into our site, which helps from an SEO perspective and keeping the content fresh and interesting. It also helps serve a need for customer engagement and overall customer experience because it allows our customers to provide direct feedback that we and others can see.",Video interview,Yes
Stayz,Michael Batinic,Trade Marketing Manager,"Michael Batinic, Stayz",Travel,Retail,Customer engagement,"The interaction between customers and property owners sets us apart from other rental booking sites. It gives property owners a chance to let customers know they care and are listening, and customers can rest easy knowing that they are staying somewhere whose owners care about the property and their experience staying there.",Case study,Yes
Stayz,Jamie Coser,Product Manager,"Jamie Coser, Stayz",Travel,Retail,BV Advantage: Content Integrity,"Displaying honest feedback, both positive and negative, shows the authenticity of the review content. ",Case study,Yes
Supercheap Auto,Ashlie Henry,Customer Feedback Coordinator,"Ashlie Henry, Supercheap Auto",Automotive - Parts & Accessories,Retail,Review Response,"We can confidently say that when customers see our responses, they are more likely to add the item to their cart and proceed with making the purchase. There is high value in this interaction, and not just for our business financially, but for our customers.",Case study,Yes
Supercheap Auto,Ashlie Henry,Customer Feedback Coordinator,"Ashlie Henry, Supercheap Auto",Automotive - Parts & Accessories,Retail,Review Response,We’re happy to have this conversation with clients rather than hide from a problem. We call it a conversation because that’s what it needs to be. We seek to understand the issue from the customer’s perspective and respond with genuine compassion. Engaging and educating our customers with thoughtful responses empowers them to make comfortable decisions and continue to purchase from us.,Case study,Yes
Supercheap Auto,Ashlie Henry,Customer Feedback Coordinator,"Ashlie Henry, Supercheap Auto",Automotive - Parts & Accessories,Retail,Review Response,Our leadership wanted to explore ways to better engage with our customers and make them feel heard and valued. Responding to reviews plays a major role in that.,Case study,Yes
Supercheap Auto,Ashlie Henry,Customer Feedback Coordinator,"Ashlie Henry, Supercheap Auto",Automotive - Parts & Accessories,Retail,Insights,We made changes to the product page the same day by adding detailed sizing specs. It was a cost-effective change that helps educate customers before purchasing,Case study,Yes
Takeya,Jordan Gold,Director of E-commerce,"Jordan Gold, Takeya",Sporting Goods / Outdoors,Manufacturing,BV Advantage: Network,"We make great products that people love. So, as we grew our business from an e-commerce standpoint, taking those positive sentiments from our website and syndicating them effortlessly is critical and helps us grow our retail sales",Case study,Yes
Takeya,Jordan Gold,Director of E-commerce,"Jordan Gold, Takeya",Sporting Goods / Outdoors,Manufacturing,BV Advantage: Network,We estimate that adding more reviews to Target.com has helped us increase sales by 30%.,Case study,Yes
Takeya,Jordan Gold,Director of E-commerce,"Jordan Gold, Takeya",Sporting Goods / Outdoors,Manufacturing,"SEO,BV Advantage: Network,Volume","Shoppers are always going to be compelled to buy products with the most reviews, so we never reach a threshold where we no longer need more. There’s also the recency benefit, where consumers are most interested in the latest reviews and don’t consider old ones as valuable. The more reviews, the better the SEO. We’ve heard this from retailers. Having that content on their sites improves our visibility on their search engine. We’ve seen our SEO improve drastically over the last couple of years as a result.",Case study,Yes
Takeya,Jordan Gold,Director of E-commerce,"Jordan Gold, Takeya",Sporting Goods / Outdoors,Manufacturing,Broad,Showing real people using our products in a lifestyle setting gives us powerful social proof and is reinforcing the real-world value of the products.,Case study,Yes
Takeya,Jordan Gold,Director of E-commerce,"Jordan Gold, Takeya",Sporting Goods / Outdoors,Manufacturing,BV Advantage: Network,"We make great products that people love. So, as we grew our business from an e-commerce standpoint, taking those positive sentiments from our website and syndicating them effortlessly is critical and helps us grow our retail sales.",Case study,Yes
Takeya,Jordan Gold,Director of E-commerce,"Jordan Gold, Takeya",Sporting Goods / Outdoors,Manufacturing,BV Advantage: Network,We estimate that adding more reviews to Target.com has helped us increase sales by 30%.,Case study,Yes
Takeya,Jordan Gold,Director of E-commerce,"Jordan Gold, Takeya",Sporting Goods / Outdoors,Manufacturing,Volume,"Shoppers are always going to be compelled to buy products with the most reviews, so we never reach a threshold where we no longer need more. There’s also the recency benefit, where consumers are most interested in the latest reviews and don’t consider old ones as valuable.",Case study,Yes
Takeya,Jordan Gold,Director of E-commerce,"Jordan Gold, Takeya",Sporting Goods / Outdoors,Manufacturing,"BV Advantage: Network,SEO","The more reviews, the better the SEO. We’ve heard this from retailers. Having that content on their sites improves our visibility on their search engine. We’ve seen our SEO improve drastically over the last couple of years as a result.",Case study,Yes
Takeya,Jordan Gold,Director of E-commerce,"Jordan Gold, Takeya",Sporting Goods / Outdoors,Manufacturing,Visual content,Showing real people using our products in a lifestyle setting gives us powerful social proof and is reinforcing the real-world value of the products,Case study,Yes
Tetley,Harry Jessop,"Assistant Brand Manager, Digital","Harry Jessop, Tetley",Food / Beverage / Drug,Manufacturing,"BV Advantage: Network,Sampling","Before gathering the reviews, our competitors had just a couple of reviews, but ranked higher on those pages because we had zero. Now our beverages hold the top spots.",Case study,Yes
Tetley,Harry Jessop,"Assistant Brand Manager, Digital","Harry Jessop, Tetley",Food / Beverage / Drug,Manufacturing,"TryIt,Sampling",Sampling’s tremendous impact on retail sales means we’ll get products into the hands of customers and request reviews early on as we innovate to address changes in customer mind sets from now on.,Case study,Yes
The Container Store,Patrick Burk,Customer Content Manager,"Patrick Burk, The Container Store",Home Improvement/Furnishings,Retail,"Customer experience,Insights,BV: Generic","We've always relied on the voice of the customer. From the very beginning, we've used comment cards and read every single one of them. Now we can do that online, and we can also easily share customers' comments with other shoppers. Bazaarvoice lets us enjoy the 21st century.",Case study,Yes
The Homax Group,Ray Mazur,CIO,"Ray Mazur, The Homax Group",Hardware / Home Improvement,Manufacturing,"BV Advantage: Network,Customer engagement","With a retail customer partner, the importance of customer engagement elevates. It’s not our customer anymore – it’s our retail partners. Having the ability to respond to these reviews and being able to support our retail partners’ customers has been a big win for Homax. We can quickly protect our brand reputation by apologizing for their experience and offering tips on what pros do. Connections is HUGE for brand reputation management. With Connections, Homax can be far more proactive in relation to the voice of the customer when preparing for retailer line review meetings. With Connections we can work directly with the end user to better understand their experience, leading to far better communication of correct product usage and many other aspects regarding the products’ expectations.",Case study,Yes
TIKI Brand,Robert Pickart,Associate Brand Manager,"Robert Pickart, TIKI Brand",Home Improvement/Furnishings,Manufacturing,"Customer experience,Insights","Data we’ve collected from Bazaarvoice Sampling spurred us to make some changes in our packaging to clarify how our tabletop vessel and fuel work together. As a result of changes inspired by customer feedback, we can be confident people are getting the intended product benefits and enjoying the best possible experience. ",Case study,Yes
TIKI Brand,Robert Pickart,Associate Brand Manager,"Robert Pickart, TIKI Brand",Home Improvement/Furnishings,Manufacturing,"BV Advantage: Service & Support,BV Advantage: Strategy & Expertise","The Bazaarvoice onboarding team was very helpful. They really listened in terms of what we were striving to achieve, and their advice was spot on. ",Case study,Yes
TIKI Brand,Robert Pickart,Associate Brand Manager,"Robert Pickart, TIKI Brand",Home Improvement/Furnishings,Manufacturing,"Sampling,Customer engagement,Insights","The sampling program has given us a great way to connect with passionate customers with strong opinions about what they love about us and what they would like to see in the future. It’s great to hear praise, but also helpful to be in touch with people who’ve been using our products for years and have great ideas to share. ",Case study,Yes
Total Wine & More,Bizu Hodge,Digital Marketing Manager ,"Bizu Hodge, Total Wine & More",Food / Beverage / Drug,Retail,"SEO,BV Advantage: Network,Conversion","Adding more reviews to our site has played a significant role in our search rankings. Organic traffic is now the major entry channel to our site. Organic traffic is the most cost-effective way to acquire new customers on our site. Additionally, the traffic and quality of the reviews increased site engagement, and the bounce rate on our product detail pages dropped by 15% this past year.",Case study,Yes
TTI,Pinkky Bhatia,Head of Digital (Consumer),"Pinkky Bhatia, TTI",Hardware / Home Appliance Electronics,Manufacturing,BV Advantage: Service & Support,Bazaarvoice was amazing in holding our hand through the implementation despite some complexities and nuances on our end and the challenge of coordinating and guiding our teams around the world across multiple time zones.,Direct,Yes
TTI,Kon Romios,Head of Consumer Marketing,"Kon Romios, TTI",Hardware / Home Appliance Electronics,Manufacturing,"Customer experience,Amplify","No matter how well crafted a brand’s content, it will never be as compelling as content by a fellow consumer, and reviews are an integral part of our consumer-generated content strategy.",Case study,Yes
TTI,Pinkky Bhatia,Head of Digital (Consumer),"Pinkky Bhatia, TTI",Hardware / Home Appliance Electronics,Manufacturing,BV: Generic,"As part of our digital transformation, reviews are the natural answer in giving customers the assurance needed to choose our brand and having Bazaarvoice as the solution provider legitimizes the authenticity of these.",Case study,Yes
TTI,Pinkky Bhatia,Head of Digital (Consumer),"Pinkky Bhatia, TTI",Hardware / Home Appliance Electronics,Manufacturing,Conversion,The biggest impact on conversion is based on the human nature to get validation from friends and others for a sanity check that the product is worth the money and help them make better decisions,Case study,Yes
TTI,Pinkky Bhatia,Head of Digital (Consumer),"Pinkky Bhatia, TTI",Hardware / Home Appliance Electronics,Manufacturing,BV Advantage: Network,"We sell Vax through a dozen retail sites across Australia, and we’re getting fantastic results from syndicating content to those sites. We’re reaching an audience that’s in-market for our category of products.",Case study,Yes
TTI,Kon Romios,Head of Consumer Marketing,"Kon Romios, TTI",Hardware / Home Appliance Electronics,Manufacturing,"Conversion,ROBO","We see the impact that online reviews have on offine sales. There’s a connection between shopping on a retail site and buying in a store, and we converged that experience. So many customers are either looking at online reviews prior to purchasing or while in the store aisles.",Case study,Yes
TTI,Pinkky Bhatia,Head of Digital (Consumer),"Pinkky Bhatia, TTI",Hardware / Home Appliance Electronics,Manufacturing,"Customer engagement,Q&A","Questions & Answers has essentially become a service channel, which means customers are getting an even higher level of support without having to pick up the phone or sit on their questions. On average, we have noticed increased engagement of 10 seconds on product pages with reviews and questions and answers.",Case study,Yes
TTI Floor Care,Jim Deitzel,Director of Digital Marketing,"Jim Deitzel, TTI Floor Care",Hardware / Home Appliance Electronics,Manufacturing,"Sampling,BV: Generic","We’re pleased with the increased review volume and higher ratings, because we know they have an impact on sales. When you start with more reviews and higher-quality reviews, like we’ve been able to do with Bazaarvoice, you start seeing more people buy, which leads to more good reviews, which in turn generates more sales. As we launch new products, its a no-brainer that for every product we launch, we get them into the Sampling program. Bazaarvoice Sampling is just the latest in a long success story that we’ve been writing together since 2012.",Case study,Yes
TTI Floor Care,Jim Deitzel,Director of Digital Marketing,"Jim Deitzel, TTI Floor Care",Hardware / Home Appliance Electronics,Manufacturing,BV Advantage: Service & Support,"For us, Bazaarvoice’s managed services is like an outsourced employee team. They take care of everything, and we’re very happy with the results. ",Case study,Yes
TTI Floor Care,Jim Deitzel,Director of Digital Marketing,"Jim Deitzel, TTI Floor Care",Hardware / Home Appliance Electronics,Manufacturing,BV Advantage: Network,"With the ability to syndicate reviews, not only are we influencing customers and potential customers who are on the brand pages looking for product information, we’re also helping the retailer. Review acquisition is just as critical to retailers as it is to us, and Bazaarvoice syndication helps with that tremendously.",Case study,Yes
TTI Floor Care,Jim Deitzel,Director of Digital Marketing,"Jim Deitzel, TTI Floor Care",Hardware / Home Appliance Electronics,Manufacturing,Insights,"We’re able to share content from reviews with other departments across the organization that benefit from knowing what customers are thinking, what they like and what they don’t like.",Case study,Yes
TTI Floor Care,Jim Deitzel,Director of Digital Marketing,"Jim Deitzel, TTI Floor Care",Hardware / Home Appliance Electronics,Manufacturing,BV Advantage: Strategy & Expertise,All the things that Bazaarvoice has guided us to do have had a tremendous impact.,Case study,Yes
TTI Floor Care North America,Jim Deitzel,Director of Digital Marketing,"Jim Deitzel, TTI Floor Care North America",Hardware / Home Appliance Electronics,Manufacturing,"BV Advantage: Innovation,BV Advantage: Service & Support,BV Advantage: Strategy & Expertise,Conversion",Fantastic solution & outstanding customer partnership. Bazaarvoice is always innovating their platform and looking for new opportunities to leverage consumer reviews and content. Their customer success teams are outstanding and put the clients' needs first. I've been a customer of Bazaarvoice since 2007 at a wide variety of different companies. I'd highly recommend their solution to anyone looking to leverage consumer generated content. They've always provided great service and support and if issues arise they are quick to troubleshoot and solve the problem. Allowing consumers to review and rate products so other shoppers can benefit from the experience of previous purchases is a must-have today. We've seen increased shopping conversions when reviews have been implemented on product pages.,G2,Yes
Tuckernuck,Kayla Robinson,Marketing Associate,"Kayla Robinson, Tuckernuck",Apparel / Accessories,Retail,Visual content,"The variety of looks helps customers better understand fit and how to style the items. When a customer sees other customers and influencers wearing the product, it inspires her or him to purchase.",Case study,Yes
Turtle Wax,Courtney Lauer,Marketing Manager,"Courtney Lauer, Turtle Wax",Automotive - Parts & Accessories,Manufacturing,"BV Advantage: Network,Conversion","Consumers are often not going to go to your brand site when they want to buy your product; they’re going to go to a retailer’s site. With Bazaarvoice, we’re able to syndicate consumer-generated content across multiple retailers so that we’re amplifying consumer views of our ratings and reviews. Our retailers are always looking for content. This is a great way they can leverage what we’re already collecting – and not just product catalog information, but also content led by the consumer that’s going to help them sell more products. We often have a hundred reviews where our competitors only have reviews in the single digits, if they have reviews at all. We’ve seen huge success as a result of this, including a year-over-year sales increase of over 50% at some of our retailers online. ",Case study,Yes
Turtle Wax,Courtney Lauer,Marketing Manager,"Courtney Lauer, Turtle Wax",Automotive - Parts & Accessories,Manufacturing,BV Advantage: Strategy & Expertise,"We have a great collaborative team, and we’re happy we’ve been able to loop in our Bazaarvoice client success director to contribute to that effort. It’s enabled us to benefit even more from our partnership. There are a lot of times you will get tech tools and you have to do everything with it. The thing I love about Bazaarvoice are the Client Success Directors that are with you every step of the way. It makes it more of a partnership than just a service.",Case study,Yes
Ulla Popken,Christian Kämmer,Head of E-commerce,"Christian Kämmer, Ulla Popken",Apparel / Accessories,Retail,"BV: Generic,Conversion,Insights","We have not said a lot about ourselves historically, but now we’re saying something through product reviews that let everyone read exactly how good the product is. This is where the competence of Bazaarvoice has really paid off, in that they have managed to dismantle internal anxieties about customer reviews completely. Bazaarvoice showed us what the outcome can be if you analyze feedback and act on it. You receive valuable insights for improvement, and it has a positive impact on online conversion as well.",Case study,Yes
